musicTitle, musicUrl, coverArt
quibusdam est excepturi, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Scott_Joplin_-_Ragtime_Dance.mp3, http://lorempixel.com/640/480/people
illum quaerat perspiciatis, https://project-music.s3-us-west-1.amazonaws.com/music+folder/springtide_-_15_-_Fall_asleep_under_the_millions_of_stars_Instrumental.mp3, http://lorempixel.com/640/480/business
ratione qui adipisci, https://project-music.s3-us-west-1.amazonaws.com/music+folder/4.)+Crabinet.mp3, http://lorempixel.com/640/480/city
incidunt aut autem, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Jason_Shaw_-_RUNNING_WATERS.mp3, http://lorempixel.com/640/480/technics
ex qui quia, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Podington_Bear_-_Blue_Highway.mp3, http://lorempixel.com/640/480/transport
illo commodi eum, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Kevin_MacLeod_-_Parisian.mp3, http://lorempixel.com/640/480/food
porro sed voluptates, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Action_Davis_-_01_-_Something_Intro.mp3, http://lorempixel.com/640/480/sports
sit autem numquam, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Windom_Earle_-_05_-_kirblooey.mp3, http://lorempixel.com/640/480/nature
esse deleniti iure, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Chris_Zabriskie_-_01_-_The_Temperature_of_the_Air_on_the_Bow_of_the_Kaleetan.mp3, http://lorempixel.com/640/480/business
minus ratione dolores, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Chuzausen_-_06_-_Raro_Bueno.mp3, http://lorempixel.com/640/480/transport
omnis nihil repellendus, https://project-music.s3-us-west-1.amazonaws.com/music+folder/BoxCat_Games_-_10_-_Epic_Song.mp3, http://lorempixel.com/640/480/sports
voluptatum voluptas dignissimos, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Noisewaves_-_04_-_Horses_With_Fake_Legs.mp3, http://lorempixel.com/640/480/transport
ut unde quis, https://project-music.s3-us-west-1.amazonaws.com/music+folder/BLEO_-_05_-_Sultry_Space_Showers.mp3, http://lorempixel.com/640/480/fashion
illum sed ut, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Monk_Turner__Fascinoma_-_01_-_Its_Your_Birthday.mp3, http://lorempixel.com/640/480/food
cum voluptatum nisi, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Mark_Neil_-_11_strANGE_Ls.mp3, http://lorempixel.com/640/480/animals
molestias magnam modi, https://project-music.s3-us-west-1.amazonaws.com/music+folder/BoxCat_Games_-_04_-_B-3.mp3, http://lorempixel.com/640/480/technics
rerum fuga sit, https://project-music.s3-us-west-1.amazonaws.com/music+folder/BLEO_-_05_-_Sultry_Space_Showers.mp3, http://lorempixel.com/640/480/city
debitis dolores similique, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Rolemusic_-_04_-_The_Pirate_And_The_Dancer.mp3, http://lorempixel.com/640/480/technics
vel placeat quis, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Will_Heikoop_-_17_-_Christmas_Star.mp3, http://lorempixel.com/640/480/abstract
neque eveniet sit, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Jason_Shaw_-_RUNNING_WATERS.mp3, http://lorempixel.com/640/480/technics
esse consequuntur quis, https://project-music.s3-us-west-1.amazonaws.com/music+folder/springtide_-_15_-_Fall_asleep_under_the_millions_of_stars_Instrumental.mp3, http://lorempixel.com/640/480/animals
qui labore veritatis, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Podington_Bear_-_Bittersweet.mp3, http://lorempixel.com/640/480/transport
eveniet veritatis sed, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Jahzzar_-_07_-_Little_Chance.mp3, http://lorempixel.com/640/480/city
voluptatem ea repellendus, https://project-music.s3-us-west-1.amazonaws.com/music+folder/Jason_Shaw_-_12_MORNINGS.mp3, http://lorempixel.com/640/480/animals
